,tamcel,nodos,grado,smallworldness,beta,mean-sw,stdev-sw,sw-min,sw-max,swdiff,absswdiff
199,48,1137,7.58135444151,50.6918221674,1.0,0.817405202006,0.0955680442431,0.653068928587,1.01896841948,49.8744169654,49.8744169654
200,50,1058,8.53875236295,39.1628733058,0.1,41.0070399707,0.284522363629,40.582599597,41.8651790871,-1.84416666484,1.84416666484
201,50,1058,8.53875236295,39.1628733058,0.2,34.1429405036,0.549270501258,33.1217073993,34.9870957847,5.01993280228,5.01993280228
202,50,1058,8.53875236295,39.1628733058,0.3,24.9712248802,0.860142260777,23.631243102,27.2358714328,14.1916484257,14.1916484257
203,50,1058,8.53875236295,39.1628733058,0.4,16.8700568783,0.530485514297,15.6049215715,17.7954449064,22.2928164276,22.2928164276
204,50,1058,8.53875236295,39.1628733058,0.5,10.2765941839,0.453900232676,9.61015389729,11.4235031439,28.8862791219,28.8862791219
205,50,1058,8.53875236295,39.1628733058,0.6,5.68412510688,0.431041453758,5.09956688909,6.54598056714,33.478748199,33.478748199
206,50,1058,8.53875236295,39.1628733058,0.7,2.89079202518,0.203922885006,2.51503711008,3.1984750085,36.2720812807,36.2720812807
207,50,1058,8.53875236295,39.1628733058,0.8,1.39181492826,0.147623131153,1.09020859586,1.64417734278,37.7710583776,37.7710583776
208,50,1058,8.53875236295,39.1628733058,0.9,0.86441589548,0.120100558518,0.675297104375,1.12097152878,38.2984574104,38.2984574104
209,50,1058,8.53875236295,39.1628733058,1.0,0.80439641473,0.133612851263,0.599230316626,1.0569112279,38.3584768911,38.3584768911
210,52,994,8.93360160966,33.8994483346,0.1,38.6395188799,0.305850228484,38.0223181746,39.2025486169,-4.7400705453,4.7400705453
211,52,994,8.93360160966,33.8994483346,0.2,32.3656132303,0.48234638995,31.6422380795,33.4207704585,1.53383510426,1.53383510426
212,52,994,8.93360160966,33.8994483346,0.3,23.4870765285,0.859055503786,21.9555192286,25.0420152329,10.4123718061,10.4123718061
213,52,994,8.93360160966,33.8994483346,0.4,15.6355571297,0.546811388999,14.67772332,16.6608542852,18.2638912049,18.2638912049
214,52,994,8.93360160966,33.8994483346,0.5,9.6427819722,0.549713161983,8.52550036682,10.6029180077,24.2566663624,24.2566663624
215,52,994,8.93360160966,33.8994483346,0.6,5.4950080552,0.421085622726,4.58505635429,6.33956052332,28.4044402794,28.4044402794
216,52,994,8.93360160966,33.8994483346,0.7,2.73908700051,0.254048933599,2.14768019887,3.05434509384,31.1603613341,31.1603613341
217,52,994,8.93360160966,33.8994483346,0.8,1.41325410155,0.129860661105,1.21648079282,1.70879015471,32.486194233,32.486194233
218,52,994,8.93360160966,33.8994483346,0.9,0.876814067445,0.116825630577,0.649863051879,1.09321620608,33.0226342671,33.0226342671
219,52,994,8.93360160966,33.8994483346,1.0,0.839230410602,0.110686783537,0.583386959851,1.03243598084,33.060217924,33.060217924
220,54,941,8.96493092455,37.8707761835,0.1,36.7877342898,0.234530583428,36.4205300919,37.1784402791,1.08304189368,1.08304189368
221,54,941,8.96493092455,37.8707761835,0.2,30.305410975,0.66632491965,28.8689894578,31.2114267974,7.56536520847,7.56536520847
222,54,941,8.96493092455,37.8707761835,0.3,22.6363453494,0.739391022379,21.271291622,23.7870093121,15.234430834,15.234430834
223,54,941,8.96493092455,37.8707761835,0.4,14.8651400604,0.457672543053,14.1378323024,15.8533611051,23.0056361231,23.0056361231
224,54,941,8.96493092455,37.8707761835,0.5,9.12201244521,0.555297391892,8.22183060517,10.2679027627,28.7487637383,28.7487637383
225,54,941,8.96493092455,37.8707761835,0.6,5.25499156198,0.351013532966,4.68053166913,5.86531758457,32.6157846215,32.6157846215
